500
32.407281553s 457.000854ms
31.794116104s 407.278181ms
31.941704912s 395.490078ms
31.009056524s 394.182321ms
31.741583495s 398.214616ms
31.352829012s 399.930972ms
31.238491416s 398.958395ms

18500
32.117023918s 414.031137ms
32.124983053s 405.285845ms
32.218052694s 400.484987ms
32.130614534s 402.616316ms
32.10139937s 401.845275ms
32.140728257s 402.15215ms
32.070244461s 431.389251ms
32.120106963s 401.890767ms
32.112194296s 402.78987ms
32.074716282s 400.128566ms
33.097170488s 403.978273ms

19000
32.8209364s 382.414073ms
32.855251617s 382.76458ms
32.863573516s 383.479164ms
32.800432349s 384.781365ms
32.748401913s 384.13634ms
32.743104135s 382.230945ms
32.752888798s 383.309254ms
32.745814296s 384.335487ms
32.76297422s 388.170764ms
32.787449116s 380.536822ms
32.726717085s 384.232978ms

19500
33.843920206s 400.670812ms
33.505094421s 401.461743ms
33.47923326s 406.51632ms
33.896574941s 400.683583ms
33.50337206s 402.895003ms
33.423977307s 400.66091ms
33.491098158s 401.158259ms
33.483543499s 403.172448ms
33.471711603s 401.345257ms
33.406730012s 404.487812ms
33.4093173s 398.735814ms

20000
34.63643742s 393.276039ms
34.444816401s 386.120739ms
37.192934785s 386.453355ms
34.361684831s 386.553966ms
35.02539134s 384.736172ms
34.479979409s 386.805851ms
34.3785547s 387.425521ms
34.303749122s 389.11274ms
34.700506465s 390.869187ms
34.344383857s 388.301461ms
34.377500514s 387.112771ms

20500
35.220748868s 373.483561ms
35.895464946s 383.94142ms
35.201200407s 410.704654ms
35.724660566s 382.837488ms
35.554355719s 385.090577ms
35.246664928s 373.880378ms
35.717330627s 383.554576ms
35.629871126s 374.215033ms
35.444282055s 386.487003ms
35.439639197s 384.487766ms
35.73905955s 386.9496ms

21000
36.554369657s 400.910773ms
36.749475975s 388.161822ms
36.673264507s 393.187879ms
36.37886767s 394.44499ms
36.663149376s 385.095882ms
36.523488034s 385.88873ms
36.764261488s 383.791313ms
36.18584145s 379.119105ms
35.925583138s 400.431373ms
35.857112616s 376.743363ms
35.871121535s 376.003652ms

21500
44.099515643s 389.558116ms
36.550738093s 389.969639ms
36.645752093s 390.15254ms
36.689345155s 387.304126ms
36.623825099s 388.623249ms
36.667785914s 395.657498ms
36.589651732s 389.56471ms
37.177924112s 401.606095ms
37.695157429s 390.929905ms
36.808851889s 392.643014ms
37.300584484s 398.396853ms

22000
38.058178992s 377.316693ms
38.018917701s 376.835004ms
37.726167149s 373.764516ms
37.431898675s 370.968263ms
37.57923706s 373.163798ms
37.742928442s 368.651684ms
37.34105059s 367.415467ms
37.454024367s 367.523209ms
37.408397572s 377.454746ms
37.355327556s 368.381078ms
37.386127873s 368.352325ms

22500
38.274986928s 379.902459ms
38.274417017s 386.988175ms
38.206356141s 382.25127ms
38.204467681s 389.211701ms
38.15430851s 385.03141ms
38.253743836s 381.399798ms
38.183618259s 378.236717ms
38.203218741s 378.219485ms
38.334341481s 384.039233ms
38.239928126s 378.662974ms
38.17759228s 380.487317ms

23000
38.99536057s 380.637497ms
39.005438662s 387.90327ms
38.951154927s 381.589092ms
39.010850649s 384.973162ms
39.039874386s 386.551544ms
39.099610385s 382.504587ms
39.01763159s 391.387339ms
38.979758135s 383.439182ms
39.011331426s 381.34595ms
38.980825759s 385.835288ms
39.00031792s 384.726558ms

23500
39.829256007s 375.440495ms
39.903564499s 394.988695ms
39.948342069s 375.638974ms
39.871364232s 376.503162ms
39.887389359s 378.372723ms
39.874499725s 380.659135ms
39.880498686s 375.482283ms
39.892170386s 377.525031ms
39.914682489s 384.547465ms
39.882255614s 377.624451ms
39.927054231s 384.968624ms

24000
40.792038234s 363.876835ms
40.629613777s 367.36327ms
40.690675348s 364.85334ms
40.724064491s 371.077125ms
40.676872046s 365.410221ms
40.773606298s 371.887746ms
40.759209703s 365.755573ms
40.75761937s 366.067863ms
41.095407613s 384.879129ms
40.730105683s 365.744757ms
40.732439045s 367.720457ms

24500
41.530859453s 370.444795ms
41.611054147s 371.826788ms
41.640799421s 372.60011ms
41.564708035s 366.738366ms
41.545254352s 371.452541ms
41.587325864s 367.899911ms
41.534849701s 371.287598ms
41.606098566s 366.04676ms
41.54794809s 366.701501ms
41.606475039s 368.560214ms
41.580060796s 366.525907ms

25000
42.410353222s 387.188718ms
42.387002282s 409.247632ms
42.432283068s 387.071268ms
42.379051333s 388.106668ms
42.517282249s 387.263523ms
42.466897049s 391.452576ms
42.443285216s 388.893435ms
42.381730532s 392.966639ms
42.362239526s 392.735075ms
42.447743436s 390.760597ms
42.40931511s 391.126129ms

25500
43.309095482s 383.898774ms
43.421453543s 379.185603ms
43.408394154s 378.550989ms
43.306260981s 376.37043ms
43.289912146s 381.065631ms
43.250738309s 376.565678ms
43.302615483s 378.101876ms
43.234523269s 385.740706ms
43.384410368s 381.555259ms
43.278658733s 376.931059ms
43.299371579s 382.499323ms

26000
44.144108632s 373.893671ms
44.140997347s 377.418748ms
44.160840489s 374.463333ms
44.151640004s 376.02568ms
44.277619687s 372.088146ms
44.16366038s 372.589117ms
44.063573715s 373.005571ms
44.114037548s 372.848414ms
44.187471612s 373.695204ms
44.134029134s 376.531891ms
44.220015092s 378.9549ms

26500
44.978914467s 371.133847ms
45.011090669s 380.453497ms
44.927348556s 376.146757ms
44.895825554s 370.350431ms
44.896374988s 373.335234ms
44.895416405s 370.897516ms
44.88671599s 409.18927ms
44.893368289s 371.03651ms
44.849434362s 374.415612ms
44.934570898s 373.506377ms
44.863209222s 375.991888ms

27000
45.819262124s 384.042562ms
45.8132388s 385.629658ms
45.852434006s 376.836493ms
45.83997607s 392.415021ms
45.749611s 379.631312ms
45.864679696s 377.929882ms
45.776876786s 377.362994ms
45.706746674s 377.773671ms
45.890673449s 381.479791ms
46.461552012s 380.836481ms
45.779414192s 378.944915ms

27500
46.621445332s 394.651812ms
46.608330885s 391.858428ms
46.619705242s 393.771612ms
46.686862696s 395.058927ms
46.724275281s 397.935859ms
46.610492132s 397.938209ms
46.54919942s 407.873997ms
46.714722484s 393.289622ms
46.637648381s 393.994721ms
46.600714298s 394.337188ms
46.679100033s 392.394406ms

28000
47.466608158s 370.222661ms
47.471241815s 375.198946ms
47.490235088s 367.631562ms
47.449289499s 370.876178ms
47.461433062s 368.560726ms
47.593528327s 370.21214ms
47.53095754s 371.371197ms
47.51574282s 367.201783ms
47.488140277s 369.874207ms
47.428735162s 368.877918ms
47.505477774s 370.281859ms

28500
48.284664537s 379.715053ms
48.332825556s 381.587567ms
48.287347544s 377.278279ms
48.370065057s 377.393212ms
48.33300389s 379.249636ms
48.245291385s 389.506749ms
48.254960808s 377.956605ms
48.300991147s 379.974954ms
48.308565109s 382.27755ms
48.262319965s 379.374853ms
48.320699788s 376.070043ms

29000
49.179144868s 381.008792ms
49.245018437s 376.113008ms
49.184157692s 382.115192ms
49.127222449s 375.677582ms
49.103056173s 384.401464ms
49.07289968s 379.49092ms
49.187681064s 385.681351ms
49.094985184s 378.892342ms
49.206904908s 384.488885ms
49.126534076s 377.741139ms
49.161837953s 382.795209ms

29500
49.967309304s 376.86992ms
50.034723613s 379.268795ms
49.996019098s 374.472244ms
49.987201791s 374.6503ms
49.969700371s 380.438096ms
50.016011475s 375.592796ms
49.972543781s 375.914143ms
